		PTEN	d19p12	d(FANCG,PAX5)	CREBBP	KRAS	BRAF	NF1	NRAS	NF2	CDKN2A	EP300	PIK3CA	SMARCA4	d13q14.2	H2O2-UP	IL-1-UP	TGFB-UP	PI3K_only-DOWN	TGFB-DOWN	Wnt-DOWN 
Model 1421	¬d(FANCG,PAX5)  & ¬BRAF  & ¬NF1  & ¬H2O2-UP 	0	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0.11141	NaN	NaN	0	0.084329	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.053762	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1422	¬d(FANCG,PAX5)  & ¬BRAF  & ¬NF1  & ¬NRAS 	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0.11141	NaN	NaN	0	0.084329	0.027514	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1423	¬PTEN  & ¬d(FANCG,PAX5)  & ¬BRAF  & ¬NRAS 	-1	0	-1	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0.084329	NaN	0.20201	NaN	NaN	0	NaN	0.067486	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1431	¬d(FANCG,PAX5)  & ¬BRAF  & ¬NF1  & ¬H2O2-UP 	0	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0.10824	NaN	NaN	0	0.08193	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.052233	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1441	NF2 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.29976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1442	NF2  & ¬d13q14.2 	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.25821	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1443	¬d(FANCG,PAX5)  & ¬NF1  & NF2  & ¬d13q14.2 	0	0	-1	0	0	0	-1	0	1	0	0	0	0	-1	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	0	NaN	0.12976	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1444	¬PTEN  & ¬NRAS  & NF2 	-1	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	0	0.33095	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1445	¬d19p12  & NF2 	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.25821	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1446	NF2  & ¬SMARCA4 	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.47302	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1447	¬d(FANCG,PAX5)  & ¬NF1  & NF2 	0	0	-1	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	0	NaN	0.12976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1448	¬PTEN  & NF2 	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.40875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1449	¬PTEN  & ¬d19p12  & NF2 	-1	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0.3043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14410	¬d19p12  & ¬d(FANCG,PAX5)  & NF2 	0	-1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	0	NaN	NaN	NaN	NaN	NaN	0.12976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14411	¬PTEN  & ¬d19p12  & ¬d(FANCG,PAX5)  & NF2 	-1	-1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	0	0	NaN	NaN	NaN	NaN	NaN	0.17584	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14412	¬d(FANCG,PAX5)  & NF2 	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0.12976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14413	¬d19p12  & ¬NF1  & NF2 	0	-1	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	0	NaN	0.25821	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14414	¬d19p12  & ¬NF1  & ¬NRAS  & NF2 	0	-1	0	0	0	0	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	0	0	0.22649	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14415	¬d19p12  & ¬NRAS  & NF2 	0	-1	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	0	0.22649	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14416	¬d19p12  & ¬NRAS  & NF2  & ¬CDKN2A 	0	-1	0	0	0	0	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	0	0.15695	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14417	¬d19p12  & NF2  & ¬CDKN2A 	0	-1	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.18867	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14418	¬d19p12  & ¬NF1  & NF2  & ¬CDKN2A 	0	-1	0	0	0	0	-1	0	1	-1	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	0	NaN	0.18867	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14419	¬d19p12  & ¬NF1  & NF2  & ¬PIK3CA 	0	-1	0	0	0	0	-1	0	1	0	0	-1	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	0	NaN	0.24632	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14420	¬d19p12  & ¬NF1  & NF2  & ¬SMARCA4 	0	-1	0	0	0	0	-1	0	1	0	0	0	-1	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	0	NaN	0.36856	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14421	¬d19p12  & ¬NF1  & NF2  & ¬d13q14.2 	0	-1	0	0	0	0	-1	0	1	0	0	0	0	-1	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	0	NaN	0.25821	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14422	¬d19p12  & ¬NF1  & NF2  & ¬IL-1-UP 	0	-1	0	0	0	0	-1	0	1	0	0	0	0	0	0	-1	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	0	NaN	0.20973	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN 
																					 
Model 14423	¬d19p12  & ¬NF1  & NF2  & ¬PI3K_only-DOWN 	0	-1	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	-1	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	0	NaN	0.3043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN 
																					 
Model 14424	¬d19p12  & ¬NF1  & NF2  & ¬Wnt-DOWN 	0	-1	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	-1 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	0	NaN	0.18867	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0 
																					 
Model 14425	¬d19p12  & NF2  & ¬PIK3CA 	0	-1	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.24632	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14426	¬d19p12  & NF2  & ¬PIK3CA  & ¬SMARCA4 	0	-1	0	0	0	0	0	0	1	0	0	-1	-1	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.35667	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1451	¬BRAF  & ¬NF1  & ¬NRAS  & ¬H2O2-UP 	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	0.16879	0.065117	NaN	NaN	NaN	NaN	NaN	NaN	0.051875	NaN	NaN	NaN	NaN	NaN 
																					 
Model 2101	NF2  | TGFB-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0 
CV error: 0.5	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 2102	CREBBP  | TGFB-UP 	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0.18816	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 2103	EP300  | TGFB-UP 	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.18816	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 2111	SMARCA4  | TGFB-UP 	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.11138	NaN	NaN	NaN	0.2242	NaN	NaN	NaN 
																					 
Model 2112	EP300  | TGFB-UP 	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.11138	NaN	NaN	NaN	NaN	NaN	0.2242	NaN	NaN	NaN 
																					 
Model 2113	CREBBP  | TGFB-UP 	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0.11138	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2242	NaN	NaN	NaN 
																					 
Model 2121	NF2  | TGFB-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.25999	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.19266	NaN	NaN	NaN 
																					 
Model 2131	NF2  | TGFB-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.25259	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.18718	NaN	NaN	NaN 
																					 
Model 2132	CREBBP  | TGFB-UP 	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0.21901	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.18718	NaN	NaN	NaN 
																					 
Model 2133	EP300  | TGFB-UP 	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.21901	NaN	NaN	NaN	NaN	NaN	0.18718	NaN	NaN	NaN 
																					 
Model 2141	NF2  | SMARCA4 	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.29976	NaN	NaN	NaN	0.11035	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 2142	CREBBP  | NF2 	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0.11035	NaN	NaN	NaN	NaN	0.1502	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 2143	NF2  | EP300 	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1502	NaN	0.11035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 2151	NF2  | TGFB-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.25086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.18589	NaN	NaN	NaN 
																					 
Model 2152	CREBBP  | TGFB-UP 	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0.21751	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.18589	NaN	NaN	NaN 
																					 
Model 2153	EP300  | TGFB-UP 	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.21751	NaN	NaN	NaN	NaN	NaN	0.18589	NaN	NaN	NaN 
																					 
Model 2201	TGFB-UP   |  NF2 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
CV error: 0.5	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 2202	TGFB-UP  & ¬TGFB-DOWN   |  EP300 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0 
		0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.18816	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	0	NaN 
																					 
Model 2203	NF2  & ¬Wnt-DOWN   |  TGFB-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1 
		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	0 
																					 
Model 2204	TGFB-UP  & ¬TGFB-DOWN   |  NF2 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0 
		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	0	NaN 
																					 
Model 2205	¬PTEN  & TGFB-UP   |  NF2 	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 2206	TGFB-UP   |  ¬d(FANCG,PAX5)  & NF2 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
		0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0.2092	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 2207	NF2   |  TGFB-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 2208	NF2   |  ¬d19p12  & TGFB-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
		0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 2209	TGFB-UP   |  EP300 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
		0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.18816	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 22010	TGFB-UP   |  ¬NRAS  & NF2 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
		0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 22011	¬BRAF  & TGFB-UP   |  ¬d19p12  & NF2 	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
		0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	0	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 22012	¬BRAF  & TGFB-UP   |  NF2 	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 22013	NF2   |  ¬EP300  & TGFB-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
		0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.217	NaN	0	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 22014	¬EP300  & TGFB-UP   |  NF2 	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0 
		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.217	NaN	0	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 22015	NF2   |  ¬KRAS  & TGFB-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
		0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 22016	¬CREBBP  & TGFB-UP   |  NF2 	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 22017	¬PIK3CA  & TGFB-UP   |  NF2 	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	0 
		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.217	NaN	NaN	0	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 22018	¬PIK3CA  & TGFB-UP   |  ¬PTEN  & NF2 	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	0 
		-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.217	NaN	NaN	0	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 22019	TGFB-UP   |  CREBBP 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0.18816	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 22020	NF2   |  ¬BRAF  & TGFB-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
		0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 22021	¬PTEN  & NF2   |  ¬BRAF  & TGFB-UP 	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
		0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	0	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 22022	¬d19p12  & TGFB-UP   |  NF2 	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 22023	¬CDKN2A  & TGFB-UP   |  ¬PTEN  & NF2 	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0 
		-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.217	0	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 22024	¬d(FANCG,PAX5)  & TGFB-UP   |  NF2 	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 22025	¬PTEN  & NF2   |  ¬PTEN  & TGFB-UP 	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
		-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 22026	NF2   |  ¬PTEN  & TGFB-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
		-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16081	NaN	NaN	NaN 
																					 
Model 2211	SMARCA4   |  TGFB-UP  & ¬Wnt-DOWN 	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0 
		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.11138	NaN	NaN	NaN	0.2242	NaN	NaN	0 
																					 
Model 2212	SMARCA4   |  TGFB-UP 	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0 
		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.11138	NaN	NaN	NaN	0.2242	NaN	NaN	NaN 
